Player Id,Name,Position,Year,Season,Week,Game Date,Home or Away,Opponent,Outcome,Score,Games Played,Games Started
odayaboushi/2539331,"Aboushi, Oday",OG,2015,Regular Season,11,11/22,Home,NYJ,W,24 to 17,0,0
odayaboushi/2539331,"Aboushi, Oday",OG,2015,Regular Season,12,11/29,Home,NO,W,24 to 6,0,0
odayaboushi/2539331,"Aboushi, Oday",OG,2015,Regular Season,13,12/06,Away,BUF,L,21 to 30,1,1
odayaboushi/2539331,"Aboushi, Oday",OG,2015,Regular Season,14,12/13,Home,NE,L,6 to 27,0,0
odayaboushi/2539331,"Aboushi, Oday",OG,2015,Regular Season,15,12/20,Away,IND,W,16 to 10,0,0
odayaboushi/2539331,"Aboushi, Oday",OG,2015,Regular Season,16,12/27,Away,TEN,W,34 to 6,0,0
odayaboushi/2539331,"Aboushi, Oday",OG,2015,Regular Season,17,01/03,Home,JAC,W,30 to 6,0,0
odayaboushi/2539331,"Aboushi, Oday",OG,2015,Postseason,18,01/09,Home,KC,L,0 to 30,0,0
odayaboushi/2539331,"Aboushi, Oday",OG,2014,Preseason,1,08/07,Home,IND,W,13 to 10,1,0
odayaboushi/2539331,"Aboushi, Oday",OG,2014,Preseason,2,08/16,Away,CIN,W,25 to 17,1,1
odayaboushi/2539331,"Aboushi, Oday",OG,2014,Preseason,3,08/22,Home,NYG,L,24 to 35,1,0
odayaboushi/2539331,"Aboushi, Oday",OG,2014,Preseason,4,08/28,Away,PHI,L,7 to 37,1,1
odayaboushi/2539331,"Aboushi, Oday",OG,2014,Regular Season,1,09/07,Home,OAK,W,19 to 14,0,0
odayaboushi/2539331,"Aboushi, Oday",OG,2014,Regular Season,2,09/14,Away,GB,L,24 to 31,1,0
odayaboushi/2539331,"Aboushi, Oday",OG,2014,Regular Season,3,09/22,Home,CHI,L,19 to 27,1,0
odayaboushi/2539331,"Aboushi, Oday",OG,2014,Regular Season,4,09/28,Home,DET,L,17 to 24,1,0
odayaboushi/2539331,"Aboushi, Oday",OG,2014,Regular Season,5,10/05,Away,SD,L,0 to 31,1,0
odayaboushi/2539331,"Aboushi, Oday",OG,2014,Regular Season,6,10/12,Home,DEN,L,17 to 31,1,0
odayaboushi/2539331,"Aboushi, Oday",OG,2014,Regular Season,7,10/16,Away,NE,L,25 to 27,1,1
odayaboushi/2539331,"Aboushi, Oday",OG,2014,Regular Season,8,10/26,Home,BUF,L,23 to 43,1,1
odayaboushi/2539331,"Aboushi, Oday",OG,2014,Regular Season,9,11/02,Away,KC,L,10 to 24,1,1
odayaboushi/2539331,"Aboushi, Oday",OG,2014,Regular Season,10,11/09,Home,PIT,W,20 to 13,1,1
odayaboushi/2539331,"Aboushi, Oday",OG,2014,Regular Season,12,11/24,Away,BUF,L,3 to 38,1,1
odayaboushi/2539331,"Aboushi, Oday",OG,2014,Regular Season,13,12/01,Home,MIA,L,13 to 16,1,1
odayaboushi/2539331,"Aboushi, Oday",OG,2014,Regular Season,14,12/07,Away,MIN,L,24 to 30,1,1
odayaboushi/2539331,"Aboushi, Oday",OG,2014,Regular Season,15,12/14,Away,TEN,W,16 to 11,1,1
odayaboushi/2539331,"Aboushi, Oday",OG,2014,Regular Season,16,12/21,Home,NE,L,16 to 17,1,1
odayaboushi/2539331,"Aboushi, Oday",OG,2014,Regular Season,17,12/28,Away,MIA,W,37 to 24,1,1
odayaboushi/2539331,"Aboushi, Oday",OG,2013,Preseason,1,08/09,Away,DET,L,17 to 26,1,0
odayaboushi/2539331,"Aboushi, Oday",OG,2013,Preseason,2,08/17,Home,JAC,W,37 to 13,1,0
odayaboushi/2539331,"Aboushi, Oday",OG,2013,Preseason,3,08/24,Away,NYG,W,24 to 21,1,0
odayaboushi/2539331,"Aboushi, Oday",OG,2013,Preseason,4,08/29,Home,PHI,W,27 to 20,1,1
odayaboushi/2539331,"Aboushi, Oday",OG,2013,Regular Season,1,09/08,Home,TB,W,18 to 17,0,0
odayaboushi/2539331,"Aboushi, Oday",OG,2013,Regular Season,2,09/12,Away,NE,L,10 to 13,0,0
odayaboushi/2539331,"Aboushi, Oday",OG,2013,Regular Season,3,09/22,Home,BUF,W,27 to 20,0,0
odayaboushi/2539331,"Aboushi, Oday",OG,2013,Regular Season,4,09/29,Away,TEN,L,13 to 38,0,0
odayaboushi/2539331,"Aboushi, Oday",OG,2013,Regular Season,5,10/07,Away,ATL,W,30 to 28,0,0
odayaboushi/2539331,"Aboushi, Oday",OG,2013,Regular Season,6,10/13,Home,PIT,L,6 to 19,0,0
odayaboushi/2539331,"Aboushi, Oday",OG,2013,Regular Season,7,10/20,Home,NE,W,30 to 27,0,0
odayaboushi/2539331,"Aboushi, Oday",OG,2013,Regular Season,8,10/27,Away,CIN,L,9 to 49,0,0
odayaboushi/2539331,"Aboushi, Oday",OG,2013,Regular Season,9,11/03,Home,NO,W,26 to 20,0,0
odayaboushi/2539331,"Aboushi, Oday",OG,2013,Regular Season,11,11/17,Away,BUF,L,14 to 37,0,0
odayaboushi/2539331,"Aboushi, Oday",OG,2013,Regular Season,12,11/24,Away,BAL,L,3 to 19,0,0
odayaboushi/2539331,"Aboushi, Oday",OG,2013,Regular Season,13,12/01,Home,MIA,L,3 to 23,0,0
odayaboushi/2539331,"Aboushi, Oday",OG,2013,Regular Season,14,12/08,Home,OAK,W,37 to 27,0,0
odayaboushi/2539331,"Aboushi, Oday",OG,2013,Regular Season,15,12/15,Away,CAR,L,20 to 30,0,0
odayaboushi/2539331,"Aboushi, Oday",OG,2013,Regular Season,16,12/22,Home,CLE,W,24 to 13,0,0
odayaboushi/2539331,"Aboushi, Oday",OG,2013,Regular Season,17,12/29,Away,MIA,W,20 to 7,0,0
tonyadams/2561295,"Adams, Tony",OG,2018,Preseason,1,08/09,Home,NO,L,20 to 24,1,0
tonyadams/2561295,"Adams, Tony",OG,2018,Preseason,2,08/18,Away,MIN,W,14 to 10,0,0
vadalalexander/2555146,"Alexander, Vadal",OG,2017,Preseason,1,08/12,Away,ARI,L,10 to 20,1,1
vadalalexander/2555146,"Alexander, Vadal",OG,2017,Preseason,2,08/19,Home,LA,L,21 to 24,1,1
vadalalexander/2555146,"Alexander, Vadal",OG,2017,Preseason,3,08/26,Away,DAL,L,20 to 24,1,1
vadalalexander/2555146,"Alexander, Vadal",OG,2017,Preseason,4,08/31,Home,SEA,L,13 to 17,0,0
vadalalexander/2555146,"Alexander, Vadal",OG,2017,Regular Season,1,09/10,Away,TEN,W,26 to 16,1,0
vadalalexander/2555146,"Alexander, Vadal",OG,2017,Regular Season,2,09/17,Home,NYJ,W,45 to 20,1,0
vadalalexander/2555146,"Alexander, Vadal",OG,2017,Regular Season,3,09/24,Away,WAS,L,10 to 27,1,0
vadalalexander/2555146,"Alexander, Vadal",OG,2017,Regular Season,4,10/01,Away,DEN,L,10 to 16,1,0
vadalalexander/2555146,"Alexander, Vadal",OG,2017,Regular Season,5,10/08,Home,BAL,L,17 to 30,1,0
vadalalexander/2555146,"Alexander, Vadal",OG,2017,Regular Season,6,10/15,Home,LAC,L,16 to 17,1,0
vadalalexander/2555146,"Alexander, Vadal",OG,2017,Regular Season,7,10/19,Home,KC,W,31 to 30,1,1
vadalalexander/2555146,"Alexander, Vadal",OG,2017,Regular Season,8,10/29,Away,BUF,L,14 to 34,1,0
vadalalexander/2555146,"Alexander, Vadal",OG,2017,Regular Season,9,11/05,Away,MIA,W,27 to 24,1,0
vadalalexander/2555146,"Alexander, Vadal",OG,2017,Regular Season,11,11/19,Home,NE,L,8 to 33,1,1
vadalalexander/2555146,"Alexander, Vadal",OG,2017,Regular Season,12,11/26,Home,DEN,W,21 to 14,1,0
vadalalexander/2555146,"Alexander, Vadal",OG,2017,Regular Season,13,12/03,Home,NYG,W,24 to 17,1,0
vadalalexander/2555146,"Alexander, Vadal",OG,2017,Regular Season,14,12/10,Away,KC,L,15 to 26,1,0
vadalalexander/2555146,"Alexander, Vadal",OG,2017,Regular Season,15,12/17,Home,DAL,L,17 to 20,1,1
vadalalexander/2555146,"Alexander, Vadal",OG,2017,Regular Season,16,12/25,Away,PHI,L,10 to 19,1,1
vadalalexander/2555146,"Alexander, Vadal",OG,2017,Regular Season,17,12/31,Away,LAC,L,10 to 30,0,0
vadalalexander/2555146,"Alexander, Vadal",OG,2016,Preseason,1,08/12,Away,ARI,W,31 to 10,1,0
vadalalexander/2555146,"Alexander, Vadal",OG,2016,Preseason,2,08/18,Away,GB,L,12 to 20,1,0
vadalalexander/2555146,"Alexander, Vadal",OG,2016,Preseason,3,08/27,Home,TEN,L,14 to 27,1,0
vadalalexander/2555146,"Alexander, Vadal",OG,2016,Preseason,4,09/01,Home,SEA,L,21 to 23,1,1
vadalalexander/2555146,"Alexander, Vadal",OG,2016,Regular Season,1,09/11,Away,NO,W,35 to 34,0,0
vadalalexander/2555146,"Alexander, Vadal",OG,2016,Regular Season,2,09/18,Home,ATL,L,28 to 35,1,0
