Player Id,Name,Current Status,Years Played
rasheedbailey/2553692,"Bailey, Rasheed",Active,
sergiobailey/2561179,"Bailey, Sergio",Active,
sterlingbailey/2556385,"Bailey, Sterling",Active,
buddabaker/2558009,"Baker, Budda",Active,
chrisbaker/2507557,"Baker, Chris",Active,
jeromebaker/2560966,"Baker, Jerome",Active,
davidbakhtiari/2540183,"Bakhtiari, David",Active,
alexbalducci/2556465,"Balducci, Alex",Active,
dougbaldwin/2530747,"Baldwin, Doug",Active,
kalenballage/2560967,"Ballage, Kalen",Active,
chrisbanjo/2541192,"Banjo, Chris",Active,
joshbanks/2559136,"Banks, Josh",Active,
zachbanner/2557908,"Banner, Zach",Active,
peytonbarber/2556466,"Barber, Peyton",Active,
donbarclay/2534827,"Barclay, Don",Active,
mattbarkley/2539308,"Barkley, Matt",Active,
saquonbarkley/2560968,"Barkley, Saquon",Active,
joebarksdale/2508117,"Barksdale, Joe",Active,
austinbarnard/2561297,"Barnard, Austin",Active,
kenjonbarner/2539289,"Barner, Kenjon",Active,
tavarisbarnes/2553789,"Barnes, Tavaris",Other,
derekbarnett/2557984,"Barnett, Derek",Active,
anthonybarr/2543459,"Barr, Anthony",Active,
alexbarrett/2559140,"Barrett, Alex",Active,
j.t.barrett/2560969,"Barrett, J.T.",Active,
shaquilbarrett/2550541,"Barrett, Shaquil",Active,
markbarron/2532789,"Barron, Mark",Active,
connorbarwin/71197,"Barwin, Connor",Active,
tarellbasham/2558165,"Basham, Tarell",Active,
mikebasile/2561113,"Basile, Mike",Active,
davidbass/2540277,"Bass, David",Active,
darenbates/2541539,"Bates, Daren",Active,
jessiebates/2560970,"Bates, Jessie",Active,
trevorbates/2556378,"Bates, Trevor",Active,
cameronbatson/2561521,"Batson, Cameron",Active,
elijahbattle/2561180,"Battle, Elijah",Other,
isaiahbattle/2554330,"Battle, Isaiah",Active,
marcusbaugh/2560971,"Baugh, Marcus",Active,
devantebausby/2553790,"Bausby, DeVante",Active,
nickbawden/2560972,"Bawden, Nick",Injured reserve,
evanbaylis/2559299,"Baylis, Evan",Active,
nathanbazata/2561684,"Bazata, Nathan",Active,
chrisbazile/2560240,"Bazile, Chris",Active,
kelvinbeachum/2533442,"Beachum, Kelvin",Active,
emmanuelbeal/2561181,"Beal, Emmanuel",Active,
sambeal/2561643,"Beal, Sam",Injured reserve,
colebeasley/2535698,"Beasley, Cole",Active,
