Player Id,Name,Current Status,Years Played
sheldonrankins/2555242,"Rankins, Sheldon",Active,
damionratley/2561054,"Ratley, Damion",Active,
thomasrawls/2553733,"Rawls, Thomas",Active,
shaneray/2552451,"Ray, Shane",Active,
kalifraymond/2556661,"Raymond, Kalif",Active,
d.j.reader/2555388,"Reader, D.J.",Active,
keithreaser/2543582,"Reaser, Keith",Active,
jeremyreaves/2561394,"Reaves, Jeremy",Active,
malikreaves/2559998,"Reaves, Malik",Active,
c.j.reavis/2561395,"Reavis, C.J.",Active,
haasonreddick/2557887,"Reddick, Haason",Active,
teoredding/2561266,"Redding, Teo",Active,
quincyredmon/2561396,"Redmon, Quincy",Active,
adamredmond/2556395,"Redmond, Adam",Active,
alexredmond/2556662,"Redmond, Alex",Active,
willredmond/2555545,"Redmond, Will",Active,
brooksreed/2495218,"Reed, Brooks",Active,
chrisreed/2553679,"Reed, Chris",Active,
d.j.reed/2560850,"Reed, D.J.",Active,
jarranreed/2555238,"Reed, Jarran",Active,
jordanreed/2540160,"Reed, Jordan",Active,
kalanreed/2556380,"Reed, Kalan",Active,
trovonreed/2554352,"Reed, Trovon",Active,
bernardreedy/2550246,"Reedy, Bernard",Active,
jasonreese/2561267,"Reese, Jason",Active,
jalenreeves-maybin/2557924,"Reeves-Maybin, Jalen",Active,
caraunreid/2543748,"Reid, Caraun",Other,
justinreid/2560851,"Reid, Justin",Active,
rileyreiff/2533042,"Reiff, Riley",Active,
brandonreilly/2559235,"Reilly, Brandon",Active,
austinreiter/2553452,"Reiter, Austin",Active,
mikeremmers/2535607,"Remmers, Mike",Active,
adamreth/2561665,"Reth, Adam",Active,
vincentrey/2507843,"Rey, Vincent",Active,
kendallreyes/2532937,"Reyes, Kendall",Active,
joshreynolds/2558194,"Reynolds, Josh",Active,
keenanreynolds/2555356,"Reynolds, Keenan",Active,
laroyreynolds/2541741,"Reynolds, LaRoy",Active,
demetriusrhaney/2549991,"Rhaney, Demetrius",Active,
lukerhodes/2556664,"Rhodes, Luke",Active,
xavierrhodes/2540155,"Rhodes, Xavier",Active,
patrickricard/2558990,"Ricard, Patrick",Active,
denzelrice/2553736,"Rice, Denzel",Active,
jalenrichard/2556885,"Richard, Jalen",Active,
jeffrichards/2558303,"Richards, Jeff",Active,
jordanrichards/2552392,"Richards, Jordan",Active,
ramonrichards/2561464,"Richards, Ramon",Active,
horacerichardson/2558991,"Richardson, Horace",Active,
paulrichardson/2543491,"Richardson, Paul",Active,
shaquillerichardson/2543779,"Richardson, Shaquille",Injured reserve,
sheldonrichardson/2540142,"Richardson, Sheldon",Active,
stevenrichardson/2561397,"Richardson, Steven",Active,
whitneyrichardson/2559477,"Richardson, Whitney",Active,
willrichardson/2560853,"Richardson, Will",Active,
westonrichburg/2543705,"Richburg, Weston",Active,
theoriddick/2540020,"Riddick, Theo",Active,
hassanridgeway/2555514,"Ridgeway, Hassan",Active,
calvinridley/2560854,"Ridley, Calvin",Active,
stevanridley/2495470,"Ridley, Stevan",Active,
curtisriley/2553822,"Riley, Curtis",Active,
dukeriley/2557967,"Riley, Duke",Active,
christianringo/2553461,"Ringo, Christian",Active,
marcusrios/2559236,"Rios, Marcus",Active,
aaronripkowski/2552477,"Ripkowski, Aaron",Active,
davidrivers/2558992,"Rivers, David",Other,
derekrivers/2558040,"Rivers, Derek",Active,
philiprivers/2506121,"Rivers, Philip",Active,
broganroback/2561593,"Roback, Brogan",Active,
andreroberts/497320,"Roberts, Andre",Active,
austinroberts/2561621,"Roberts, Austin",Injured reserve,
darrylroberts/2553353,"Roberts, Darryl",Active,
elandonroberts/2556119,"Roberts, Elandon",Active,
michaelroberts/2558049,"Roberts, Michael",Active,
sethroberts/2550597,"Roberts, Seth",Active,
stephenroberts/2560855,"Roberts, Stephen",Active,
koreyrobertson/2560856,"Robertson, Korey",Active,
peterobertson/2556770,"Robertson, Pete",Active,
craigrobertson/2532431,"Robertson, Craig",Active,
royrobertson-harris/2556665,"Robertson-Harris, Roy",Active,
nickellrobey-coleman/2540197,"Robey-Coleman, Nickell",Active,
a'shawnrobinson/2555265,"Robinson, A'Shawn",Active,
aldrickrobinson/2495331,"Robinson, Aldrick",Active,
allenrobinson/2543509,"Robinson, Allen",Active,
camrobinson/2558004,"Robinson, Cam",Active,
coreyrobinson/2552356,"Robinson, Corey",Active,
demarcusrobinson/2555478,"Robinson, Demarcus",Active,
edmondrobinson/2552441,"Robinson, Edmond",Active,
gregrobinson/2543458,"Robinson, Greg",Active,
jevonirobinson/2559567,"Robinson, Jevoni",Active,
joshrobinson/2533542,"Robinson, Josh",Active,
keenanrobinson/2532940,"Robinson, Keenan",Active,
patrickrobinson/2508084,"Robinson, Patrick",Active,
rashardrobinson/2555546,"Robinson, Rashard",Active,
simeyonrobinson/2561701,"Robinson, Simeyon",Active,
tyreerobinson/2561519,"Robinson, Tyree",Active,
brianrobison/2495723,"Robison, Brian",Active,
bradleyroby/2543505,"Roby, Bradley",Active,
isaacrochell/2557860,"Rochell, Isaac",Active,
aaronrodgers/2506363,"Rodgers, Aaron",Active,
jakerodgers/2553236,"Rodgers, Jake",Active,
jacquizzrodgers/2495471,"Rodgers, Jacquizz",Active,
kacyrodgers/2560247,"Rodgers, Kacy",Active,
richardrodgers/2550313,"Rodgers, Richard",Active,
benroethlisberger/2506109,"Roethlisberger, Ben",Active,
chesterrogers/2556396,"Rogers, Chester",Active,
elirogers/2553737,"Rogers, Eli",Active,
samrogers/2558196,"Rogers, Sam",Active,
ja'vonrolland-jones/2560857,"Rolland-Jones, Ja'Von",Other,
quintenrollins/2552263,"Rollins, Quinten",Active,
jordanroos/2559239,"Roos, Jordan",Active,
aldrickrosas/2556771,"Rosas, Aldrick",Active,
nickrose/2556450,"Rose, Nick",Active,
joshrosen/2560858,"Rosen, Josh",Active,
danielross/2559240,"Ross, Daniel",Active,
devinross/2561400,"Ross, Devin",Active,
fredross/2558993,"Ross, Fred",Other,
johnross/2558010,"Ross, John",Active,
kayauneross/2561614,"Ross, Kayaune",Active,
rashadross/2541940,"Ross, Rashad",Other,
bunmirotimi/2560859,"Rotimi, Bunmi",Other,
chaseroullier/2558037,"Roullier, Chase",Active,
ericrowe/2552255,"Rowe, Eric",Active,
ahtybarubin/1344,"Rubin, Ahtyba",Injured reserve,
frosteerucker/2506908,"Rucker, Frostee",Active,
jakerudock/2556232,"Rudock, Jake",Active,
masonrudolph/2560860,"Rudolph, Mason",Active,
kylerudolph/2495438,"Rudolph, Kyle",Active,
travisrudolph/2559241,"Rudolph, Travis",Active,
cooperrush/2559242,"Rush, Cooper",Active,
marcusrush/2553475,"Rush, Marcus",Active,
alonzorussell/2556672,"Russell, Alonzo",Active,
keivaraerussell/2555547,"Russell, KeiVarae",Active,
ryanrussell/2552277,"Russell, Ryan",Active,
jakeryan/2552314,"Ryan, Jake",Injured reserve,
jonryan/2506613,"Ryan, Jon",Active,
loganryan/2540162,"Ryan, Logan",Active,
mattryan/310,"Ryan, Matt",Active,
rodgersaffold/497048,"Saffold, Rodger",Active,
jobysaintfleur/2559056,"Saint Fleur, Joby",Other,
victorsalako/2559352,"Salako, Victor",Active,
shaheedsalmon/2561611,"Salmon, Shaheed",Active,
christiansam/2560861,"Sam, Christian",Active,
tysambrailo/2552366,"Sambrailo, Ty",Active,
curtissamuel/2558066,"Samuel, Curtis",Active,
jaylensamuels/2560862,"Samuels, Jaylen",Active,
rigobertosanchez/2558899,"Sanchez, Rigoberto",Active,
emmanuelsanders/497322,"Sanders, Emmanuel",Active,
jasonsanders/2561153,"Sanders, Jason",Active,
darnellsankey/2557434,"Sankey, Darnell",Active,
tigiesankoh/2561594,"Sankoh, Tigie",Active,
cairosantos/2550636,"Santos, Cairo",Active,
ryansantoso/2561269,"Santoso, Ryan",Active,
mohamedsanu/2533040,"Sanu, Mohamed",Active,
ericsaubert/2558023,"Saubert, Eric",Active,
tomsavage/2543640,"Savage, Tom",Active,
dantesawyer/2561401,"Sawyer, Dante",Active,
wessaxton/2553682,"Saxton, Wes",Active,
caseysayles/2558879,"Sayles, Casey",Active,
patrickscales/2530600,"Scales, Patrick",Active,
tegrayscales/2560864,"Scales, Tegray",Active,
orlandoscandrick/2307,"Scandrick, Orlando",Active,
boscarbrough/2560865,"Scarbrough, Bo",Active,
brennanscarlett/2556673,"Scarlett, Brennan",Active,
mattschaub/2505982,"Schaub, Matt",Active,
brandonscherff/2552032,"Scherff, Brandon",Active,
chrisschleuger/2561402,"Schleuger, Chris",Active,
austinschlottmann/2561439,"Schlottmann, Austin",Active,
coltonschmidt/2542246,"Schmidt, Colton",Active,
joeschobert/2555166,"Schobert, Joe",Active,
michaelschofield/2543732,"Schofield, Michael",Active,
ryanschraeder/2541521,"Schraeder, Ryan",Active,
masonschreck/2558864,"Schreck, Mason",Active,
karterschult/2559244,"Schult, Karter",Other,
daltonschultz/2560866,"Schultz, Dalton",Active,
mitchellschwartz/2532945,"Schwartz, Mitchell",Active,
wesschweitzer/2556373,"Schweitzer, Wes",Active,
brianschwenke/2540216,"Schwenke, Brian",Active,
christianscotland-williamson/2561517,"Scotland-Williamson, Christian",Active,
drewscott/2559977,"Scott, Drew",Other,
artavisscott/2559246,"Scott, Artavis",Active,
bostonscott/2561146,"Scott, Boston",Active,
calebscott/2561270,"Scott, Caleb",Active,
rashawnscott/2556676,"Scott, Rashawn",Active,
chrisscott/2508054,"Scott, Chris",Active,
da'mariscott/2561403,"Scott, Da'Mari",Active,
jaleelscott/2560867,"Scott, Jaleel",Active,
jkscott/2560868,"Scott, JK",Active,
nilesscott/2561138,"Scott, Niles",Active,
timscott/2553598,"Scott, Tim",Active,
trentonscott/2561544,"Scott, Trenton",Active,
rickyseals-jones/2559248,"Seals-Jones, Ricky",Active,
sammyseamster/2550250,"Seamster, Sammy",Active,
da'norrissearcy/2495339,"Searcy, Da'Norris",Active,
bradseaton/2558772,"Seaton, Brad",Active,
austinseferian-jenkins/2543683,"Seferian-Jenkins, Austin",Active,
timsemisch/2553847,"Semisch, Tim",Active,
deadrinsenat/2560869,"Senat, Deadrin",Active,
gregsenat/2560870,"Senat, Greg",Active,
andrewsendejo/2525323,"Sendejo, Andrew",Active,
cotysensabaugh/2532946,"Sensabaugh, Coty",Active,
camserigne/2559964,"Serigne, Cam",Active,
timsettle/2560871,"Settle, Tim",Active,
isaacseumalo/2555495,"Seumalo, Isaac",Active,
kevonseymour/2555549,"Seymour, Kevon",Active,
adamshaheen/2558144,"Shaheen, Adam",Active,
maurquiceshakir/2558995,"Shakir, Maurquice",Active,
huntersharp/2556773,"Sharp, Hunter",Active,
davidsharpe/2558145,"Sharpe, David",Active,
tajaesharpe/2555317,"Sharpe, Tajae",Active,
tylershatley/2550398,"Shatley, Tyler",Active,
joshshaw/2552259,"Shaw, Josh",Active,
ryanshazier/2543486,"Shazier, Ryan",Physically unable to perform,
deshawnshead/2535609,"Shead, DeShawn",Active,
