gameDate,Player Id,Name,Position,Year,Season,Week,Game Date,Home or Away,Opponent,Outcome,Score,Games Played,Games Started,Receptions,Receiving Yards,Yards Per Reception,Longest Reception,Receiving TDs,Rushing Attempts,Rushing Yards,Yards Per Carry,Longest Rushing Run,Rushing TDs,Fumbles,Fumbles Lost
2017-10-05,dwayneallen/2533046,"Allen, Dwayne",TE,2017,Regular Season,5,10/05,Away,TB,W,19 to 14,1,1,,,,,,,,,,,,
2017-10-15,dwayneallen/2533046,"Allen, Dwayne",TE,2017,Regular Season,6,10/15,Away,NYJ,W,24 to 17,1,0,,,,,,,,,,,,
2017-10-22,dwayneallen/2533046,"Allen, Dwayne",TE,2017,Regular Season,7,10/22,Home,ATL,W,23 to 7,1,0,,,,,,,,,,,,
2017-10-29,dwayneallen/2533046,"Allen, Dwayne",TE,2017,Regular Season,8,10/29,Home,LAC,W,21 to 13,1,1,,,,,,,,,,,,
2017-11-12,dwayneallen/2533046,"Allen, Dwayne",TE,2017,Regular Season,10,11/12,Away,DEN,W,41 to 16,1,0,1.0,11.0,11.0,11.0,1.0,,,,,,,
2017-11-19,dwayneallen/2533046,"Allen, Dwayne",TE,2017,Regular Season,11,11/19,Away,OAK,W,33 to 8,1,1,2.0,24.0,12.0,19.0,0.0,,,,,,,
2017-11-26,dwayneallen/2533046,"Allen, Dwayne",TE,2017,Regular Season,12,11/26,Home,MIA,W,35 to 17,1,1,1.0,2.0,2.0,2.0,0.0,,,,,,,
2017-12-03,dwayneallen/2533046,"Allen, Dwayne",TE,2017,Regular Season,13,12/03,Away,BUF,W,23 to 3,1,1,1.0,3.0,3.0,3.0,0.0,,,,,,,
2017-12-11,dwayneallen/2533046,"Allen, Dwayne",TE,2017,Regular Season,14,12/11,Away,MIA,L,20 to 27,1,1,2.0,10.0,5.0,8.0,0.0,,,,,,,
2017-12-17,dwayneallen/2533046,"Allen, Dwayne",TE,2017,Regular Season,15,12/17,Away,PIT,W,27 to 24,1,0,1.0,10.0,10.0,10.0,0.0,,,,,,,
2017-12-24,dwayneallen/2533046,"Allen, Dwayne",TE,2017,Regular Season,16,12/24,Home,BUF,W,37 to 16,1,0,2.0,26.0,13.0,22.0,0.0,,,,,,,
2017-12-31,dwayneallen/2533046,"Allen, Dwayne",TE,2017,Regular Season,17,12/31,Home,NYJ,W,26 to 6,1,0,0.0,0.0,,,0.0,,,,,,,
2016-09-11,dwayneallen/2533046,"Allen, Dwayne",TE,2016,Regular Season,1,09/11,Home,DET,L,35 to 39,1,1,4.0,53.0,13.3,19.0,1.0,,,,,,,
2016-09-18,dwayneallen/2533046,"Allen, Dwayne",TE,2016,Regular Season,2,09/18,Away,DEN,L,20 to 34,1,1,2.0,25.0,12.5,13.0,0.0,,,,,,,
2016-09-25,dwayneallen/2533046,"Allen, Dwayne",TE,2016,Regular Season,3,09/25,Home,SD,W,26 to 22,1,1,3.0,35.0,11.7,14.0,0.0,,,,,,,
2016-10-02,dwayneallen/2533046,"Allen, Dwayne",TE,2016,Regular Season,4,10/02,Away,JAX,L,27 to 30,1,1,2.0,20.0,10.0,13.0,0.0,,,,,,,
2016-10-09,dwayneallen/2533046,"Allen, Dwayne",TE,2016,Regular Season,5,10/09,Home,CHI,W,29 to 23,1,1,6.0,50.0,8.3,20.0,1.0,,,,,,1.0,0.0
2016-10-16,dwayneallen/2533046,"Allen, Dwayne",TE,2016,Regular Season,6,10/16,Away,HOU,L,23 to 26,1,1,1.0,9.0,9.0,9.0,0.0,,,,,,,
2016-10-23,dwayneallen/2533046,"Allen, Dwayne",TE,2016,Regular Season,7,10/23,Away,TEN,W,34 to 26,0,0,,,,,,,,,,,,
2016-10-30,dwayneallen/2533046,"Allen, Dwayne",TE,2016,Regular Season,8,10/30,Home,KC,L,14 to 30,0,0,,,,,,,,,,,,
2016-11-06,dwayneallen/2533046,"Allen, Dwayne",TE,2016,Regular Season,9,11/06,Away,GB,W,31 to 26,1,1,1.0,15.0,15.0,15.0,0.0,,,,,,,
2016-11-20,dwayneallen/2533046,"Allen, Dwayne",TE,2016,Regular Season,11,11/20,Home,TEN,W,24 to 17,1,1,0.0,0.0,,,0.0,,,,,,,
2016-11-24,dwayneallen/2533046,"Allen, Dwayne",TE,2016,Regular Season,12,11/24,Home,PIT,L,7 to 28,1,1,5.0,49.0,9.8,13.0,0.0,,,,,,,
2016-12-05,dwayneallen/2533046,"Allen, Dwayne",TE,2016,Regular Season,13,12/05,Away,NYJ,W,41 to 10,1,1,4.0,72.0,18.0,23.0,3.0,,,,,,,
2016-12-11,dwayneallen/2533046,"Allen, Dwayne",TE,2016,Regular Season,14,12/11,Home,HOU,L,17 to 22,1,1,0.0,0.0,,,0.0,,,,,,,
2016-12-18,dwayneallen/2533046,"Allen, Dwayne",TE,2016,Regular Season,15,12/18,Away,MIN,W,34 to 6,1,1,1.0,13.0,13.0,13.0,0.0,,,,,,,
2016-12-24,dwayneallen/2533046,"Allen, Dwayne",TE,2016,Regular Season,16,12/24,Away,OAK,L,25 to 33,1,1,3.0,31.0,10.3,11.0,0.0,,,,,,,
2016-01-01,dwayneallen/2533046,"Allen, Dwayne",TE,2016,Regular Season,17,01/01,Home,JAX,W,24 to 20,1,1,3.0,34.0,11.3,15.0,1.0,,,,,,,
2015-09-13,dwayneallen/2533046,"Allen, Dwayne",TE,2015,Regular Season,1,09/13,Away,BUF,L,14 to 27,1,1,3.0,17.0,5.7,8.0,1.0,,,,,,,
2015-09-21,dwayneallen/2533046,"Allen, Dwayne",TE,2015,Regular Season,2,09/21,Home,NYJ,L,7 to 20,1,1,,,,,,,,,,,,
2015-09-27,dwayneallen/2533046,"Allen, Dwayne",TE,2015,Regular Season,3,09/27,Away,TEN,W,35 to 33,0,0,,,,,,,,,,,,
2015-10-04,dwayneallen/2533046,"Allen, Dwayne",TE,2015,Regular Season,4,10/04,Home,JAC,W,16 to 13,0,0,,,,,,,,,,,,
2015-10-08,dwayneallen/2533046,"Allen, Dwayne",TE,2015,Regular Season,5,10/08,Away,HOU,W,27 to 20,1,1,1.0,21.0,21.0,21.0,0.0,,,,,,,
2015-10-18,dwayneallen/2533046,"Allen, Dwayne",TE,2015,Regular Season,6,10/18,Home,NE,L,27 to 34,1,1,3.0,23.0,7.7,10.0,0.0,,,,,,,
2015-10-25,dwayneallen/2533046,"Allen, Dwayne",TE,2015,Regular Season,7,10/25,Home,NO,L,21 to 27,1,1,1.0,10.0,10.0,10.0,0.0,,,,,,,
2015-11-02,dwayneallen/2533046,"Allen, Dwayne",TE,2015,Regular Season,8,11/02,Away,CAR,L,26 to 29,1,1,1.0,4.0,4.0,4.0,0.0,,,,,,,
