gameDate,Player Id,Name,Position,Year,Season,Week,Game Date,Home or Away,Opponent,Outcome,Score,Games Played,Games Started,Receptions,Receiving Yards,Yards Per Reception,Longest Reception,Receiving TDs,Rushing Attempts,Rushing Yards,Yards Per Carry,Longest Rushing Run,Rushing TDs,Fumbles,Fumbles Lost
2015-09-28,davanteadams/2543495,"Adams, Davante",WR,2015,Regular Season,3,09/28,Home,KC,W,38 to 28,1,1,0.0,0.0,,,0.0,,,,,,,
2015-10-04,davanteadams/2543495,"Adams, Davante",WR,2015,Regular Season,4,10/04,Away,SF,W,17 to 3,0,0,,,,,,,,,,,,
2015-10-11,davanteadams/2543495,"Adams, Davante",WR,2015,Regular Season,5,10/11,Home,STL,W,24 to 10,0,0,,,,,,,,,,,,
2015-10-18,davanteadams/2543495,"Adams, Davante",WR,2015,Regular Season,6,10/18,Home,SD,W,27 to 20,0,0,,,,,,,,,,,,
2015-11-01,davanteadams/2543495,"Adams, Davante",WR,2015,Regular Season,8,11/01,Away,DEN,L,10 to 29,1,1,1.0,8.0,8.0,8.0,0.0,,,,,,,
2015-11-08,davanteadams/2543495,"Adams, Davante",WR,2015,Regular Season,9,11/08,Away,CAR,L,29 to 37,1,1,7.0,93.0,13.3,40.0,0.0,,,,,,,
2015-11-15,davanteadams/2543495,"Adams, Davante",WR,2015,Regular Season,10,11/15,Home,DET,L,16 to 18,1,1,10.0,79.0,7.9,18.0,0.0,,,,,,,
2015-11-22,davanteadams/2543495,"Adams, Davante",WR,2015,Regular Season,11,11/22,Away,MIN,W,30 to 13,1,1,3.0,36.0,12.0,16.0,0.0,,,,,,,
2015-11-26,davanteadams/2543495,"Adams, Davante",WR,2015,Regular Season,12,11/26,Home,CHI,L,13 to 17,1,1,2.0,14.0,7.0,8.0,0.0,,,,,,,
2015-12-03,davanteadams/2543495,"Adams, Davante",WR,2015,Regular Season,13,12/03,Away,DET,W,27 to 23,1,1,4.0,21.0,5.3,8.0,1.0,,,,,,,
2015-12-13,davanteadams/2543495,"Adams, Davante",WR,2015,Regular Season,14,12/13,Home,DAL,W,28 to 7,1,1,2.0,12.0,6.0,8.0,0.0,,,,,,,
2015-12-20,davanteadams/2543495,"Adams, Davante",WR,2015,Regular Season,15,12/20,Away,OAK,W,30 to 20,1,1,5.0,32.0,6.4,8.0,0.0,,,,,,,
2015-12-27,davanteadams/2543495,"Adams, Davante",WR,2015,Regular Season,16,12/27,Away,ARI,L,8 to 38,1,1,3.0,42.0,14.0,38.0,0.0,,,,,,,
