Player Id,Year,Position,Team,Games Played,Rushing Attempts,Rushing Attempts Per Game,Rushing Yards,Yards Per Carry,Rushing Yards Per Game,Rushing TDs,Longest Rushing Run,Rushing First Downs,Percentage of Rushing First Downs,Rushing More Than 20 Yards,Rushing More Than 40 Yards,Receptions,Receiving Yards,Yards Per Reception,Yards Per Game,Longest Reception,Receiving TDs,Receptions Longer than 20 Yards,Receptions Longer than 40 Yards,First Down Receptions,Fumbles,Fumbles Lost
robgronkowski/497240,2010,TE,New England Patriots,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,546.0,13.0,34.1,28.0,10.0,11.0,0.0,30.0,1.0,1.0
joshhill/2541834,2017,TE,New Orleans Saints,16.0,1.0,0.1,-8.0,-8.0,-0.5,0.0,-8.0,0.0,0.0,0.0,0.0,16.0,125.0,7.8,7.8,22.0,1.0,1.0,0.0,4.0,2.0,2.0
joshhill/2541834,2016,TE,New Orleans Saints,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,149.0,9.9,16.6,35.0,1.0,3.0,0.0,6.0,0.0,0.0
joshhill/2541834,2015,TE,New Orleans Saints,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,120.0,7.5,7.5,19.0,2.0,0.0,0.0,8.0,0.0,0.0
joshhill/2541834,2014,TE,New Orleans Saints,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,176.0,12.6,11.0,37.0,5.0,2.0,0.0,9.0,0.0,0.0
joshhill/2541834,2013,TE,New Orleans Saints,14.0,1.0,0.1,-8.0,-8.0,-0.6,0.0,-8.0,0.0,0.0,0.0,0.0,6.0,44.0,7.3,3.1,9.0,1.0,0.0,0.0,3.0,0.0,0.0
jacobhollister/2558956,2017,TE,New England Patriots,15.0,1.0,0.1,5.0,5.0,0.3,0.0,5.0,0.0,0.0,0.0,0.0,4.0,42.0,10.5,2.8,19.0,0.0,0.0,0.0,2.0,0.0,0.0
michaelhoomanawanui/497246,2017,TE,New Orleans Saints,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,52.0,8.7,3.7,25.0,1.0,1.0,0.0,2.0,0.0,0.0
michaelhoomanawanui/497246,2015,TE,New Orleans Saints,12.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,76.0,6.9,6.3,19.0,3.0,0.0,0.0,4.0,1.0,1.0
michaelhoomanawanui/497246,2015,TE,New England Patriots,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
michaelhoomanawanui/497246,2014,TE,New England Patriots,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,44.0,14.7,2.8,23.0,0.0,1.0,0.0,2.0,0.0,0.0
michaelhoomanawanui/497246,2013,TE,New England Patriots,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,136.0,11.3,10.5,19.0,1.0,0.0,0.0,7.0,0.0,0.0
michaelhoomanawanui/497246,2012,TE,New England Patriots,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,109.0,21.8,7.8,41.0,0.0,2.0,1.0,4.0,0.0,0.0
michaelhoomanawanui/497246,2011,TE,St. Louis Rams,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,83.0,11.9,10.4,27.0,0.0,1.0,0.0,4.0,0.0,0.0
michaelhoomanawanui/497246,2010,TE,St. Louis Rams,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,146.0,11.2,18.2,36.0,3.0,2.0,0.0,9.0,0.0,0.0
traviskelce/2540258,2017,TE,Kansas City Chiefs,15.0,2.0,0.1,7.0,3.5,0.5,0.0,4.0,2.0,100.0,0.0,0.0,83.0,1038.0,12.5,69.2,44.0,8.0,19.0,1.0,55.0,0.0,0.0
traviskelce/2540258,2016,TE,Kansas City Chiefs,16.0,1.0,0.1,-5.0,-5.0,-0.3,0.0,-5.0,0.0,0.0,0.0,0.0,85.0,1125.0,13.2,70.3,80.0,4.0,14.0,3.0,55.0,0.0,0.0
traviskelce/2540258,2015,TE,Kansas City Chiefs,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,875.0,12.2,54.7,42.0,5.0,10.0,1.0,40.0,2.0,2.0
traviskelce/2540258,2014,TE,Kansas City Chiefs,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,862.0,12.9,53.9,34.0,5.0,15.0,0.0,45.0,4.0,3.0
traviskelce/2540258,2013,TE,Kansas City Chiefs,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lancekendricks/2495187,2017,TE,Green Bay Packers,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,203.0,11.3,12.7,51.0,1.0,3.0,1.0,8.0,0.0,0.0
lancekendricks/2495187,2016,TE,Los Angeles Rams,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,499.0,10.0,31.2,44.0,2.0,7.0,1.0,22.0,1.0,1.0
lancekendricks/2495187,2015,TE,St. Louis Rams,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,245.0,9.8,16.3,37.0,2.0,3.0,0.0,11.0,0.0,0.0
lancekendricks/2495187,2014,TE,St. Louis Rams,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,259.0,9.6,16.2,23.0,5.0,3.0,0.0,17.0,0.0,0.0
lancekendricks/2495187,2013,TE,St. Louis Rams,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,258.0,8.1,17.2,21.0,4.0,1.0,0.0,16.0,0.0,0.0
lancekendricks/2495187,2012,TE,St. Louis Rams,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,519.0,12.4,32.4,80.0,4.0,6.0,1.0,25.0,1.0,0.0
lancekendricks/2495187,2011,TE,St. Louis Rams,15.0,1.0,0.1,-8.0,-8.0,-0.5,0.0,-8.0,0.0,0.0,0.0,0.0,28.0,352.0,12.6,23.5,45.0,0.0,5.0,1.0,15.0,1.0,1.0
vincemayle/2552431,2017,TE,Baltimore Ravens,16.0,2.0,0.1,2.0,1.0,0.1,1.0,2.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
