Player Id,Year,Rushing Yards pts sum,Rushing Yards pts mean,Receiving Yards pts sum,Receiving Yards pts mean,Rushing TDs pts sum,Rushing TDs pts mean,Receiving TDs pts sum,Receiving TDs pts mean,Receptions pts sum,Receptions pts mean,Rushing Bonus pts sum,Rushing Bonus pts mean,Receiving Bonus pts sum,Receiving Bonus pts mean,Total pts sum,Total pts mean,Total pts active sum,Total pts started sum,Games Played sum,Games Played mean,Games Started sum,Percentage Started Games,Avg pts per Games Played,Avg pts per Games Started,Percentage Played Games,Sum Fantasy Rank,Avg Fantasy Rank,Avg pts Played Rank,Avg pts Started Rank
cameronartis-payne/2552375,2016,14.4,4.8,1.1,1.1,12.0,4.0,0.0,0.0,0.4,0.4,0,0.0,0,0.0,27.900000000000002,1.7437500000000001,27.900000000000002,27.900000000000002,3,0.1875,3,0.1875,9.3,9.3,0.1875,73.0,77.0,29.0,45.0
cameronartis-payne/2552375,2015,18.3,3.0500000000000003,5.800000000000001,1.9333333333333336,6.0,1.0,0.0,0.0,2.0,0.6666666666666666,0,0.0,0,0.0,32.10000000000001,2.0062500000000005,32.10000000000001,0.0,7,0.4375,0,0.0,4.585714285714287,,0.4375,51.0,54.0,44.0,
georgeatkinson/2550540,2016,3.4000000000000004,3.4000000000000004,,,6.0,6.0,,,,,0,0.0,0,0.0,9.4,0.5875,9.4,0.0,16,1.0,0,0.0,0.5875,,1.0,86.0,90.0,97.0,
georgeatkinson/2550540,2014,,,,,,,,,,,0,0.0,0,0.0,0.0,0.0,0.0,0.0,5,1.0,0,0.0,0.0,,0.3125,58.5,58.5,57.5,
tavonaustin/2539336,2017,27.0,1.9285714285714286,4.700000000000001,0.4700000000000001,6.0,0.42857142857142855,0.0,0.0,5.2,0.52,0,0.0,0,0.0,42.9,2.68125,42.9,27.0,16,1.0,9,0.5625,2.68125,3.0,1.0,71.0,79.0,86.0,66.0
tavonaustin/2539336,2016,15.9,1.06,50.9,3.393333333333333,6.0,0.4,18.0,1.2,23.200000000000003,1.5466666666666669,0,0.0,0,0.0,114.0,7.125,114.0,114.0,15,0.9375,15,0.9375,7.6,7.6,0.9375,34.0,39.0,43.0,49.0
tavonaustin/2539336,2015,43.400000000000006,2.8933333333333335,47.3,2.95625,24.0,1.6,30.0,1.875,20.8,1.3,0,0.0,0,0.0,165.5,10.34375,165.5,161.5,16,1.0,15,0.9375,10.34375,10.766666666666667,1.0,11.0,14.0,18.0,25.0
tavonaustin/2539336,2014,22.400000000000002,1.6,24.2,1.6133333333333333,12.0,0.8571428571428571,0.0,0.0,12.400000000000004,0.8266666666666669,0,0.0,0,0.0,71.00000000000001,4.437500000000001,71.00000000000001,39.0,15,0.9375,8,0.5,4.733333333333334,4.875,0.9375,27.0,29.0,31.0,27.0
tavonaustin/2539336,2013,15.100000000000001,1.8875000000000002,41.8,3.215384615384615,6.0,0.75,24.0,1.8461538461538463,16.000000000000004,1.230769230769231,0,0.0,2,0.125,104.9,6.55625,104.9,30.699999999999996,13,0.8125,3,0.1875,8.069230769230769,10.233333333333333,0.8125,15.0,16.0,11.0,12.0
peytonbarber/2556466,2017,42.300000000000004,4.23,11.400000000000002,1.6285714285714288,18.0,1.8,0.0,0.0,6.4,0.9142857142857144,2,0.125,0,0.0,80.10000000000001,5.0062500000000005,80.10000000000001,47.900000000000006,16,1.0,4,0.25,5.0062500000000005,11.975000000000001,1.0,48.0,59.0,68.0,25.0
peytonbarber/2556466,2016,22.3,2.477777777777778,2.8000000000000003,1.4000000000000001,6.0,0.6666666666666666,0.0,0.0,2.0,1.0,0,0.0,0,0.0,33.1,2.06875,33.1,7.1,15,0.9375,1,0.0625,2.2066666666666666,7.1,0.9375,69.0,74.0,78.0,52.0
kenjonbarner/2539289,2017,5.7,0.9500000000000001,5.6000000000000005,0.9333333333333335,6.0,1.0,0.0,0.0,2.0,0.3333333333333333,0,0.0,0,0.0,19.300000000000004,1.484615384615385,19.300000000000004,0.0,13,1.0,1,0.07692307692307693,1.484615384615385,0.0,0.8125,88.0,95.0,99.0,88.5
kenjonbarner/2539289,2016,12.9,1.4333333333333333,4.2,0.8400000000000001,12.0,1.3333333333333333,0.0,0.0,2.0,0.4,0,0.0,0,0.0,31.1,2.2214285714285715,31.1,0.0,13,0.9285714285714286,0,0.0,2.3923076923076922,,0.8125,71.0,72.0,74.0,
kenjonbarner/2539289,2015,12.400000000000002,3.1000000000000005,2.2,0.44000000000000006,0.0,0.0,0.0,0.0,3.6,0.72,0,0.0,0,0.0,18.200000000000003,1.1375000000000002,18.200000000000003,0.0,10,0.625,0,0.0,1.8200000000000003,,0.625,64.0,67.0,63.0,
kenjonbarner/2539289,2013,0.7000000000000001,0.35000000000000003,0.7,0.35,0.0,0.0,0.0,0.0,0.8,0.4,0,0.0,0,0.0,2.2,0.1375,2.2,0.0,8,0.5,0,0.0,0.275,,0.5,35.0,37.0,38.0,
le'veonbell/2540175,2017,129.1,8.606666666666666,65.5,4.366666666666666,54.0,3.6,12.0,0.8,34.0,2.2666666666666666,11,0.6875,2,0.125,307.6,19.225,307.6,307.6,15,0.9375,15,0.9375,20.506666666666668,20.506666666666668,0.9375,2.0,3.0,2.0,3.0
le'veonbell/2540175,2016,126.80000000000001,10.566666666666668,61.60000000000001,5.133333333333334,42.0,3.5,12.0,1.0,30.000000000000004,2.5000000000000004,20,1.5384615384615385,0,0.0,292.40000000000003,22.492307692307694,292.40000000000003,292.40000000000003,12,0.9230769230769231,12,0.9230769230769231,24.36666666666667,24.36666666666667,0.75,3.0,2.0,1.0,2.0
le'veonbell/2540175,2015,55.6,9.266666666666667,13.6,2.7199999999999998,18.0,3.0,0.0,0.0,9.600000000000001,1.9200000000000004,6,1.0,0,0.0,102.79999999999998,17.13333333333333,102.79999999999998,102.79999999999998,6,1.0,6,1.0,17.13333333333333,17.13333333333333,0.375,32.0,2.0,2.0,7.0
le'veonbell/2540175,2014,136.10000000000002,8.506250000000001,85.4,5.3375,48.0,3.0,18.0,1.125,33.2,2.075,19,1.1875,5,0.3125,344.7,21.54375,344.7,344.7,16,1.0,16,1.0,21.54375,21.54375,1.0,1.0,1.0,1.0,2.0
le'veonbell/2540175,2013,86.00000000000001,6.615384615384617,39.900000000000006,3.06923076923077,48.0,3.6923076923076925,0.0,0.0,18.0,1.3846153846153846,2,0.125,0,0.0,193.89999999999998,12.118749999999999,193.89999999999998,193.89999999999998,13,0.8125,13,0.8125,14.915384615384614,14.915384615384614,0.8125,4.0,5.0,3.0,6.0
nickbellore/2495262,2017,,,0.1,0.1,,,6.0,6.0,0.4,0.4,0,0.0,0,0.0,6.5,0.43333333333333335,6.5,0.0,13,0.8666666666666667,2,0.13333333333333333,0.5,0.0,0.8125,117.0,118.0,118.0,88.5
nickbellore/2495262,2016,,,,,,,,,,,0,0.0,0,0.0,0.0,0.0,0.0,0.0,14,1.0,10,0.7142857142857143,0.0,0.0,0.875,118.5,118.5,116.5,77.0
nickbellore/2495262,2015,,,,,,,,,,,0,0.0,0,0.0,0.0,0.0,0.0,0.0,16,1.0,0,0.0,0.0,,1.0,88.0,88.0,88.0,
nickbellore/2495262,2014,,,,,,,,,,,0,0.0,0,0.0,0.0,0.0,0.0,0.0,16,1.0,0,0.0,0.0,,1.0,58.5,58.5,57.5,
nickbellore/2495262,2013,,,,,,,,,,,0,0.0,0,0.0,0.0,0.0,0.0,0.0,16,1.0,0,0.0,0.0,,1.0,41.0,41.0,41.0,
nickbellore/2495262,2012,,,2.3000000000000003,2.3000000000000003,,,0.0,0.0,0.4,0.4,0,0.0,0,0.0,2.7,0.16875,2.7,0.0,16,1.0,0,0.0,0.16875,,1.0,22.0,22.0,22.0,
nickbellore/2495262,2011,,,,,,,,,,,0,0.0,0,0.0,0.0,0.0,0.0,0.0,16,1.0,0,0.0,0.0,,1.0,16.0,16.0,16.0,
